keyword,singulars produced by CLIPS pattern Python library (https://www.clips.uantwerpen.be/pattern)
Men,man
Women,woman
Portraits,portrait
Flowers,flower
Textile Fragments,textile fragment
Athletes,athlete
Leaves,leaf
Utilitarian Objects,utilitarian object
Trees,tree
Baseball,baseball
Clothing and Accessories,clothing and accessory
Birds,bird
Human Figures,human figure
Inscriptions,inscription
Profiles,profile
Actresses,actress
Dresses,dress
Animals,animal
Buildings,building
Tools and Equipment,tools and equipment
Bowls,bowl
Dishes,dish
Landscapes,landscape
Houses,house
Writing Systems,writing system
Vases,vase
Architecture,architecture
Books,book
Decorative Elements,decorative element
Horse Riding,horse riding
Lace,lace
Bottles,bottle
Coat of Arms,coat of arm
Musical Instruments,musical instrument
Samples,sample
Seals,seal
Female Nudes,female nude
Boats,boat
Hats,hat
Bodies of Water,bodies of water
Cups,cup
Sculpture,sculpture
Horses,horse
Textiles,textile
Abstraction,abstraction
Heads,head
Girls,girl
Dogs,dog
Mythical Creatures,mythical creature
Boys,boy
Jewelry,jewelry
Christ,christ
Soldiers,soldier
Angels,angel
Jars,jar
Chairs,chair
Flags,flag
Beads,bead
Mountains,mountain
Shoes,shoe
Embroidery,embroidery
Pendants,pendant
Faces,face
Children,child
Swords,sword
Documents,document
Lions,lion
Weapons,weapon
Architectural Fragments,architectural fragment
Male Nudes,male nude
Hieroglyphs,hieroglyph
Ships,ship
Actors,actor
Saints,saint
Earrings,earring
Vase Fragments,vase fragment
Fans,fan
Cutlery,cutlery
Carriages,carriage
Insignia,insignium
Fish,fish
Christian Imagery,christian imagery
Cross,cros
Plants,plant
Coats,coat
Virgin Mary,virgin mary
Columns,column
Suits,suit
Working,working
Bridges,bridge
Hilts,hilt
Sword Guards,sword guard
Interiors,interior
Buddhism,buddhism
Streets,street
Dragons,dragon
Jugs,jug
Masks,mask
Scarabs,scarab
Necklaces,necklace
Crowd,crowd
Rings,ring
Tables,table
Writing Implements,writing implement
Infants,infant
Arches,arch
Ornament,ornament
Coins,coin
Madonna and Child,madonna and child
Lamps,lamp
Rivers,river
Armors,armor
Saucers,saucer
Amulets,amulet
Deer,deer
Fruit,fruit
Kings,king
Bracelets,bracelet
Firearms,firearm
Mirrors,mirror
Netsuke,netsuke
Ruins,ruin
Costumes,costume
Cities,city
Football,football
Boxing,boxing
Lighting,lighting
Satire,satire
Drinking Glasses,drinking glass
Undergarment,undergarment
Dancing,dancing
Diamonds,diamond
Butterflies,butterfly
Jackets,jacket
Design Elements,design element
Christianity,christianity
Arrowheads,arrowhead
Windows,window
Helmets,helmet
Tablets,tablet
Shields,shield
Churches,church
Jesus,jesu
Gods,god
Cars,car
Robes,robe
Candlesticks,candlestick
Cupid,cupid
Footwear,footwear
Arabic,arabic
Pins,pin
Civil War,civil war
Eagles,eagle
Beakers,beaker
Hills,hill
Funerary Objects,funerary object
nonrepresentationalart,nonrepresentationalart
Roses,rose
Reading,reading
Satyrs,satyr
Putti,puttus
Cows,cow
Insects,insect
Goddess,goddes
